2022-May-01 15:47:35 PM [main] INFO  com.inetbanking.testcases.BaseClass - inetbanking
2022-May-01 15:48:13 PM [main] INFO  com.inetbanking.testcases.BaseClass - url opened
2022-May-01 15:48:22 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:48:23 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:48:42 PM [main] INFO  com.inetbanking.testcases.BaseClass - Login passed
2022-May-01 15:48:54 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:48:54 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:49:02 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:49:03 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:49:11 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:49:12 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:49:18 PM [main] INFO  com.inetbanking.testcases.BaseClass - Login passed
2022-May-01 15:49:27 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:49:27 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
